arxiv_id,predicted_type,reasoning
2104.0922,regular,"This paper presents a novel method for continual learning called Gaussian Mixture Replay, outlining its architecture, training process, and evaluation on image datasets."
2510.18122,regular,"This paper presents a novel framework for learning molecular fields, outlining its architecture, training process, and applications. It does not primarily review existing research."
2103.12466,review,"The paper reviews existing graph matching algorithms and proposes a methodology for applying them to plant design data, making it a review paper."
2305.09101,regular,"This paper presents a novel one-step learning algorithm selection method for classification, not a review of existing methods."
2112.12933,regular,"This paper presents a novel method for predicting mortality in cancer patients using constrained tensor factorization, not a review of existing research."
2010.05696,regular,"The paper presents a novel deep adversarial domain adaptation model, not a review or survey of existing work."
2303.01713,regular,"The paper presents new bounds on the softmax function and applies them to robustness verification, which is original research."
2309.15648,regular,"This paper presents a novel framework for synthetic graph generation (SGE) called SANGEA, which introduces a new method for generating large graphs. It does not review existing SGE methods or provide a comprehensive overview of the field."
2406.09187,regular,"This paper presents a novel method for safeguarding LLM agents, outlining its design, implementation, and evaluation on benchmarks. It is not a review or survey of existing research."
2106.02602,regular,"This paper presents a novel method for detecting change points in sequential data, not a review of existing research."
2412.15846,regular,"This paper presents a novel method for improving quantization-aware training, outlining a new framework and experimental results."
2502.04288,regular,"The paper presents a novel DMV framework for predicting AD risk, not a review of existing research."
2206.0549,regular,"The paper presents a novel method for discovering and estimating latent confounders in Bayesian networks, not a review of existing work."
2102.07751,regular,"The paper presents a novel deep learning model for multi-view subspace learning, not a review of existing research."
2501.18268,regular,"The paper presents a new data acquisition framework, not a review or survey of existing research."
2107.13653,regular,"The paper presents a new LSTM-based model for power demand forecasting, not a review of existing research."
2205.14135,regular,"This paper presents a novel algorithm for attention mechanisms in Transformers, not a review or survey of existing research."
2306.01618,regular,"The paper presents original research using NLP and machine learning to analyze credit risk model problems, not a review of existing literature."
2501.18357,regular,"The paper presents a novel graph representation framework, ComGRL, and its experimental results are presented. This is an original research paper."
2207.077,review,"The paper reviews and discusses the practical considerations of applying federated learning in an IoT ecosystem, rather than presenting new research findings."
2311.00444,regular,"This paper presents a novel method for generating graphs based on functional requirements, not a review of existing research."
2110.0274,review,"The paper reviews and validates existing work on cluster analysis on the Jester dataset, focusing on data preparation and future directions."
2407.01065,regular,"The paper presents a new method for predicting ROI, not a review of existing research."
2207.05022,regular,"This paper presents a novel method for accelerating NLP inference, not a review of existing research."
2310.03301,regular,"This paper presents a novel method for improving GFlowNets, a generative flow network, through learning energy decompositions. It outlines a new approach and empirical results, not a review of existing work."
2206.00799,regular,"This paper presents a novel approach to addressing concept drift in federated learning, proposing new clustering algorithms. It does not primarily review existing literature."
2110.08028,regular,"This paper presents a novel method for hyperparameter optimization, not a review of existing research."
2406.02778,regular,"The paper presents a novel multi-scale graph embedding approach, not a review of existing work."
2307.06631,regular,"This paper presents a novel framework for knowledge distillation on multi-scaled graph neural networks, focusing on its implementation and experimental evaluation."
2210.11604,regular,"This paper presents a novel algorithm for minimizing regret in reinforcement learning for latent Markov decision processes, not a review of existing literature."
2112.04716,regular,"This paper presents a new method (DR3) for addressing a problem in deep reinforcement learning, not a review of existing research."
2507.23665,regular,"The paper presents a novel regularization framework, not a review or survey of existing research."
2501.08281,regular,"This paper presents a novel framework for extracting interpretable logic rules from deep neural networks, outlining its architecture, capabilities, and experimental validation."
2508.18085,regular,"This paper presents a novel method for detecting GNSS spoofing attacks, not a review of existing research."
2501.10214,regular,"The paper presents a novel architecture for spatio-temporal forecasting, not a review of existing work."
2206.02976,regular,"The paper presents a new pruning algorithm and investigates the impact of pruning on recall distortion, which is a novel empirical study."
2402.13655,regular,"The paper presents a new method for updating regression trees, not a review of existing research."
2310.18688,regular,"The paper presents a new pipeline toolkit for medical time series, outlining its features and demonstrating its viability through examples."
2508.07536,regular,"This paper presents a novel physics-informed multimodal CNN for bearing fault classification, outlining its architecture, training process, and experimental results."
2405.2069,regular,"This paper presents a novel method for missing data imputation, not a review or survey of existing research."
2501.15035,regular,"This paper presents a novel method for anomaly detection in dynamic graphs, not a review of existing research."
2310.17332,regular,"This paper presents a new method for improving forecast stability, not a review of existing literature."
2308.02796,regular,"This paper presents a novel machine learning system for diet recommendation, not a review of existing research."
2506.15718,regular,"This paper presents the creation and evaluation of a new dataset for building design, not a review of existing research."
2208.06676,regular,"The paper presents a novel method for dimensionality reduction, not a review of existing methods."
2101.05605,regular,"This paper presents a new physics-informed machine learning model for porosity analysis, not a review of existing research."
2506.02965,regular,"This paper presents a novel method for collaborative training of LLMs, focusing on memory efficiency and privacy preservation. It is not a review or survey of existing research."
2206.06367,regular,"The paper presents experimental results comparing different multimodal representation techniques, not a review of existing literature."
2107.12524,regular,"This paper presents a novel approach to procedural content generation, not a review of existing methods."
2201.06503,regular,"This paper presents a new training-free inference framework for diffusion probabilistic models, not a review of existing research."
2302.08631,regular,"The paper presents a new approach to contextual bandits, proposing and analyzing algorithms, not reviewing existing work."
2111.06328,regular,"This paper presents original research on the asymptotic behavior of constant stepsize SGD algorithms, focusing on the limiting distribution of the scaled iterate."
2012.1503,regular,"The paper presents a new ensemble predictive model for failure analysis in the oil and gas industry, not a review of existing research."
2310.16525,regular,"The paper presents a novel probabilistic graphical model, not a review of existing research."
2311.15097,regular,"This paper presents a new framework for data augmentation of trajectory data, not a review of existing literature."
2510.13622,regular,"This paper presents a novel framework for generative modeling using manifold decoders, outlining a new method and experimental results."
2403.15022,regular,"The paper presents empirical research on iterative magnitude pruning and its relationship to the lottery ticket hypothesis, not a review of existing literature."
2206.03321,regular,"The paper presents a novel method for early abnormal detection of sewage pipe networks, focusing on a new bagging strategy for anomaly detection algorithms."
2405.10143,regular,"This paper presents a new method for verifying relational properties of deep neural networks, not a review of existing work."
2505.23648,regular,"This paper presents a novel method for continuous chain-of-thought reasoning, introducing theoretical guarantees and algorithms for CoT2, and demonstrating its effectiveness through experiments."
2305.02582,regular,"This paper presents original research demonstrating the role of LayerNorm in Transformers' attention, not a review of existing literature."
2502.20476,review,"The paper reviews and connects different control methods (MPPI, RL, Diffusion Models) by demonstrating their connections through gradient-based optimization on the Gibbs measure."
2308.02715,regular,"The paper presents a novel method for predicting fluid viscosity using computer vision and machine learning, not a review of existing research."
2211.01156,regular,"The paper presents a novel neural algorithm for a specific problem, not a review or survey of existing research."
2508.12593,regular,"This paper presents a novel deep operator network for traffic state estimation, introducing a new method and experimental results."
2409.13671,regular,"This paper presents a novel generative framework for predictive modeling of multiple chronic conditions, outlining a new method and experimental results."
2203.04894,regular,"This paper presents a novel low-dimensional computing classifier, not a review of existing research."
2301.05763,review,The paper reviews the importance of uncertainty quantification for reproducible machine learning workflows and proposes a framework for achieving this.
2412.1781,regular,"This paper presents a novel attention mechanism and its implementation, not a review or survey of existing work."
2504.12569,regular,"This paper presents a novel method for open-set semi-supervised learning, not a review of existing research."
2409.04373,review,"The paper reviews existing research on algorithmic fairness in fraud detection, highlighting challenges and proposing a new approach for evaluation."
2104.02219,regular,"The paper presents a novel transformer-based model for extracting information from medical conversations, not a review of existing research."
2511.22069,regular,"This paper presents original research on the convergence dynamics of score matching for a single Gaussian distribution, including theoretical analysis and empirical results."
2501.19182,regular,"This paper presents a novel self-supervised framework for inducing compositional representations, not a review or survey of existing research."
2508.1006,regular,This paper presents original research results from a randomized controlled trial evaluating a personalized exercise assistant using reinforcement learning.
2509.15464,regular,"This paper presents a novel algorithm for temporal reasoning with LLMs, outlining its design, evaluation, and results. It is not a review or survey of existing work."
2302.09649,regular,"This paper presents a novel generative model called label learning flows for weakly supervised learning, not a review of existing methods."
2204.05351,regular,"This paper presents a novel GNN architecture called Graph Ordering Attention Networks, introducing a new layer and demonstrating its effectiveness through experiments."
2211.01451,regular,"The paper presents a novel algorithm for privacy-preserving non-negative matrix factorization, not a review of existing work."
2506.22253,regular,"This paper presents a novel algorithm for risk-aware best arm set identification, outlining its theoretical framework and empirical evaluation."
2407.0084,regular,"This paper presents a novel method (MUSE-Net) for handling missing data in longitudinal EHRs, not a review of existing literature."
2310.0763,regular,"This paper presents a novel method for learning the Euler Characteristic Transform, which is an original research contribution."
2106.05497,regular,"The paper presents a novel approach to reinforcement learning, not a review of existing research."
2405.09305,regular,"The paper presents a novel method for signal processing, not a review of existing work."
2306.13076,regular,"The paper presents experimental results comparing different sequence models for multi-modal emotion recognition, not a review of existing literature."
2511.1535,review,"The paper systematically reviews and evaluates various ensemble methods for time series forecasting, presenting a multi-layer stacking framework as a novel approach."
2312.04273,review,The paper reviews the importance of out-of-distribution generalization for decision tree models and introduces a novel method called Invariant Random Forest (IRF).
2208.08464,regular,"This paper presents a novel framework for detecting label errors in machine learning, outlining its methodology and experimental results."
2305.01547,regular,"The paper presents a new method for accelerating few-shot learning, not a review or survey of existing research."
2411.00139,regular,"The paper presents a novel method for explainable-by-design convolutional neural networks, not a review of existing research."
2011.0301,regular,"This paper presents a novel method for data augmentation, not a review or survey of existing methods."
2205.00147,regular,"This paper presents a novel method for dynamic domain adaptation of DNNs, not a review of existing research."
2405.14372,regular,"The paper presents a new algorithm for learning constrained Markov decision processes with non-stationary rewards and constraints, not a review of existing work."
2511.0476,regular,This paper presents original research on the phenomenon of grokking and its mitigation through knowledge distillation.
2303.15015,regular,"This paper presents a novel method for handling open set problems in temporal graph neural networks, not a review of existing work."
2206.05442,regular,This paper presents original research on using large language models to generate and answer machine learning final exam questions.
2411.06634,regular,"This paper presents a novel method for inductive graph few-shot class incremental learning, outlining a new approach to the problem, not a review of existing work."
2107.04894,regular,"This paper presents a novel method for improving inductive link prediction using hyper-relational facts, not a review of existing research."
2308.0321,regular,"This paper presents a novel convolutional neural network architecture for handling irregularly sampled time series data, not a review of existing work."
2505.17196,regular,"This paper presents a novel method for mitigating safety risks in LLM finetuning, outlining a new framework and implementation."
2310.0457,regular,"This paper presents a novel transformer-based neural network architecture for path loss prediction, not a review of existing work."
2301.05635,regular,"This paper presents a novel time-myopic Go-Explore state representation, introducing a new method for reinforcement learning, not a review of existing research."
2303.03946,regular,"The paper presents a new method for pseudo-label regularization, not a review or survey of existing research."
2305.05518,regular,"The paper presents a new method for multi-label learning, not a review or survey of existing work."
2105.08374,regular,"This paper presents a novel Deep Reinforcement Learning approach for multimodal transportation planning, not a review of existing methods."
2508.17675,regular,"This paper presents a novel method for generating synthetic normative data using generative multimodal large language models, not a review of existing research."
2404.17284,regular,"The paper presents experimental results and compares different machine learning algorithms for predicting VRFB temperature rise, which is original research."
2108.04126,regular,"This paper presents a new algorithm for computing Banzhaf values, which are a model explanation method, rather than a review of existing methods."
2106.00512,regular,"The paper presents experiments and a certification suite for 'care labels' in machine learning, focusing on testing and measuring the properties of models and configurations."
2412.13902,regular,"This paper presents a novel artificial neuron model, not a review of existing research."
2506.05857,regular,"This paper presents a novel method for time series forecasting, not a review of existing research."
2312.03642,regular,"This paper presents a novel method for improving prediction accuracy in a specific domain (inertial confinement fusion) using a transformer-based approach. It describes a new system and experimental results, not a review of existing research."
2411.05648,regular,"The paper presents a new method for enhancing model fairness and accuracy, not a review of existing research."
2105.11417,regular,This paper presents a novel convolution layer called Skew Orthogonal Convolution (SOC) and demonstrates its effectiveness through experiments.
2508.15642,regular,"This paper presents a novel method for achieving individual fairness in machine learning, not a review of existing research."
2504.13462,regular,"This paper presents a novel framework for Federated Learning called Stratify, introducing new methods and experimental results."
2205.12245,regular,"The paper presents a new method (Asynchronous Neural Networks) and experimental results, not a review of existing work."
2011.09902,regular,"This paper presents a novel framework for federated learning in edge networks, proposing a blockchain-based solution. It outlines a new method and experimental results, not a review of existing literature."
2306.09803,regular,"This paper presents a new framework and benchmarks for MCBO, introducing novel algorithms and conducting experiments to evaluate their performance."
2203.00829,regular,"The paper proposes a novel SFL framework, presenting a new method for personalized federated learning, not a review of existing literature."
2112.08919,regular,"This paper presents a novel deep generative model for design under uncertainty, not a review of existing work."
2411.18177,regular,"The paper presents a new method for detecting gender-based violence victim condition from speech, not a review of existing research."
2507.12165,regular,"This paper presents a novel generative framework, a new method, and empirical results, making it an original research paper."
2410.06895,regular,This paper presents original research findings that challenge the use of ACR as a metric for evaluating robustness guarantees in randomized smoothing.
2204.07074,regular,"This paper presents original research using machine learning to analyze clinical notes and identify themes, not a review of existing literature."
2412.14048,regular,"The paper presents a new method (EDL) for uncertainty quantification in storm forecasting, not a review of existing research."
2212.04002,regular,"This paper presents a novel method for structural health monitoring, not a review of existing research."
2410.14069,regular,"The paper presents a novel algorithm for offline reinforcement learning, not a review or survey of existing work."
2411.00278,regular,"This paper presents a novel method for time series anomaly detection, not a review of existing methods."
2502.06775,regular,"This paper presents a novel algorithm for enhancing the interpretability of AI models, not a review of existing research."
2407.10971,regular,This paper presents a novel method for Bayesian Inverse Reinforcement Learning (IRL) and does not primarily review existing research.
2302.0716,regular,"This paper presents a novel method for improving sample efficiency in reinforcement learning for PDE control, not a review of existing research."
2309.05352,regular,"This paper presents a novel method for discovering permutation subgroups, not a review of existing research."
2507.17382,regular,"This paper presents a novel framework for continual generalized category discovery, introducing a new method and experimental results."
2308.09087,regular,"This paper presents a novel deep learning model for graph analysis, not a review of existing work."
2509.09119,regular,"This paper presents a novel method for fine-tuning large language models, not a review or survey of existing research."
2110.09039,regular,"This paper presents a novel method for graph classification, not a review of existing research."
2103.10478,regular,"This paper presents a novel method for activity recognition using Doppler radar data, not a review of existing research."
2406.17199,regular,"The paper presents a novel method for graph matching, not a review or survey of existing work."
2403.02695,regular,"The paper presents a novel method for improving model performance across different groups, not a review of existing research."
2404.06198,regular,The paper presents original research investigating the impact of data set similarity and diversity on transfer learning success in time series forecasting.
2507.10241,regular,"This paper presents a novel method (KAPI-ELM) for solving PDEs with sharp gradients, not a review of existing research."
2505.23673,regular,"This paper presents a new method for Bayesian optimization with human feedback, not a review of existing work."
2106.0763,regular,"This paper presents a novel approach for hierarchical forecasting, proposing a new method and experimental results."
2402.02772,regular,"This paper presents a novel method for improving offline reinforcement learning, not a review of existing research."
2507.02907,regular,"This paper presents empirical results comparing the performance of pre-trained large-scale models and small-scale transformers for time series forecasting, presenting new findings and not simply reviewing existing literature."
2508.01505,regular,"This paper presents a new framework for building hardware-aware latency prediction models, not a review of existing literature."
2107.0438,regular,"This paper presents a novel algorithm for model compression, outlining its application and experimental results, making it an original research paper."
2505.24578,regular,"The paper presents a novel neuro-symbolic operator framework for characterizing piezoelectric systems, not a review of existing research."
2106.06345,regular,"This paper presents a novel method for modeling population dynamics, not a review of existing research."
2206.03483,regular,"This paper presents a novel method for few-shot learning, not a review or survey of existing research."
2208.07265,regular,"This paper presents a novel method for heterogeneous approximation of neural networks, including experimental results and software implementation."
2204.1201,review,The paper reviews the challenges of continual learning and proposes a theoretical framework to understand information flow in networks for task sequences. It does not present new methods or results.
2501.17802,regular,"This paper presents a novel knowledge augmentation method (LEKA) and evaluates its effectiveness through experiments, making it an original research paper."
2403.12606,regular,"This paper presents a novel ensemble method for re-identification, not a review of existing research."
2312.01606,regular,"This paper presents a new deep learning model for predicting welding depth and pore volume, not a review of existing research."
2101.12372,regular,"This paper presents a new framework for adversarial learning with cost-sensitive classes, proposing a novel defense model and experimental results."
2510.27525,regular,"The paper presents a novel approach for active transfer learning in structural health monitoring, proposing a Bayesian framework and an active learning strategy. It focuses on a new method, not a review of existing research."
2207.11761,regular,"This paper presents a novel method for learning from heterogeneous graphs, not a review of existing research."
2012.02509,regular,"This paper presents a new algorithm for detecting data pollution attacks, not a review of existing research."
2212.0662,review,"The paper reviews existing forecasting algorithms, analyzes their interpretability, and proposes a new hybrid algorithm to improve accuracy without sacrificing interpretability."
2507.02006,regular,"This paper presents a novel algorithm and system co-design solution for accelerating out-of-core GCNs, not a review of existing research."
2507.05544,regular,"This paper presents a novel deep learning model for hand load estimation, not a review of existing research."
2509.15349,regular,"This paper presents a new method for improving the performance of conformal prediction in small-data settings, not a review of existing research."
2106.06712,regular,"The paper presents a new combinatorial algorithm for a specific problem, not a review or survey of existing work."
2206.07194,review,"The paper reviews and proposes new methods for explaining linear programs, which is a survey of existing research in the field."
2412.09379,regular,"This paper presents a novel method (HVS-GNNs) for energy-efficient scientific machine learning, not a review of existing research."
2301.11113,regular,"This paper presents a novel method for generating robust counterfactual explanations, not a review of existing research."
2201.10323,regular,"This paper presents a novel active learning approach for anomaly detection, not a review of existing research."
2302.0751,regular,"This paper presents a novel algorithm for Best Arm Identification in Stochastic Rising Bandits, focusing on the fixed-budget setting and proposing two algorithms with theoretical guarantees and empirical validation."
2507.06021,regular,"This paper presents a new library (Kamae) for preprocessing data in machine learning, not a review of existing literature."
2505.03042,regular,"This paper presents a new perspective on multi-resolution hash encoding for neural fields, proposing a novel explanation of its working principle through domain manipulation. It is not a review or survey of existing research."
2204.10536,regular,"The paper presents a new algorithm for differentially private models, not a review of existing research."
2305.19889,regular,"This paper presents a novel evaluation workflow (NERO) for machine learning models, outlining its methodology and demonstrating its application in various research areas. It is not a review of existing literature."
